Name,AAC_A,AAC_C,AAC_D,AAC_E,AAC_F,AAC_G,AAC_H,AAC_I,AAC_K,AAC_L,AAC_M,AAC_N,AAC_P,AAC_Q,AAC_R,AAC_S,AAC_T,AAC_V,AAC_W,AAC_Y,Essentiality
YOL143C,9.47,0.59,5.33,7.1,2.96,9.47,3.55,8.88,6.51,7.1,4.73,3.55,3.55,2.37,4.14,4.14,4.14,8.88,1.78,1.78,0
YOL148C,7.62,0.33,2.98,5.96,2.81,3.64,1.82,3.64,6.46,7.28,2.98,11.59,5.79,7.62,5.63,9.93,6.95,3.81,0.33,2.81,0
YNL106C,4.82,1.18,5.83,6,4.73,4.99,2.11,6.42,7.69,8.88,1.1,5.33,5.92,3.47,5.33,10.4,6.34,5.33,0.76,3.38,0
YNL097C,6.97,2.42,5.76,7.27,1.52,5.15,3.94,3.94,6.97,8.79,2.73,8.79,3.94,2.42,6.36,9.39,6.06,3.94,0.61,3.03,0
YDR500C,7.95,4.55,0,0,4.55,10.23,6.82,0,12.5,2.27,2.27,4.55,2.27,2.27,12.5,11.36,10.23,2.27,1.14,2.27,0
YGR267C,5.35,1.23,3.7,9.88,2.88,6.17,3.29,7.82,5.35,9.05,4.12,2.88,4.12,4.12,7.82,5.35,6.58,7,0.41,2.88,1
YLR371W,5.75,1.11,5.53,4.42,4.42,4.65,3.98,6.34,7.15,8.41,1.92,6.34,4.35,4.35,5.24,12.68,5.01,4.42,0.52,3.39,1
YGL210W,8.11,1.35,6.76,6.76,3.6,6.76,1.35,6.31,7.66,6.76,2.25,7.66,2.25,2.25,3.6,9.46,6.31,5.86,0.9,4.05,0
YDR328C,5.15,0.52,13.4,11.34,2.58,2.58,2.06,5.15,5.15,6.7,2.58,8.76,3.61,1.55,6.7,8.76,2.58,7.73,1.55,1.55,1
YDR390C,5.66,1.73,7.55,6.76,4.25,3.93,1.1,9.59,7.39,9.28,1.42,7.55,5.03,3.77,3.62,7.86,6.29,4.72,0.63,1.89,1
YOR347C,8.89,0.99,6.72,4.55,3.36,7.31,2.17,8.89,4.94,8.89,2.17,4.74,4.35,3.75,5.73,6.13,6.92,7.11,0.2,2.17,0
YDR092W,7.84,0.65,7.19,8.5,1.96,3.27,1.31,7.19,8.5,11.11,1.31,4.58,9.8,3.27,4.58,3.92,4.58,4.58,1.96,3.92,0
YML103C,3.44,0.73,5.86,5.38,6.1,2.48,1.63,9.67,7.07,14.74,1.09,6.95,2.9,4.77,2.05,10.69,5.92,4.89,0.73,2.9,0
YER087C-B,8.54,0,2.44,1.22,4.88,7.32,1.22,4.88,9.76,9.76,1.22,4.88,6.1,4.88,3.66,12.2,4.88,10.98,0,1.22,0
YDL116W,4.96,0.96,5.79,9.92,3.86,2.89,2.07,8.82,5.79,13.36,1.52,6.06,3.31,4.13,3.72,8.26,4.41,5.1,1.24,3.86,0
YLR153C,8.2,0.88,5.86,5.86,2.93,8.49,3.22,6.15,5.86,7.17,1.61,3.95,5.27,2.64,4.54,6,6.15,8.78,1.9,4.54,1
YPR173C,8.24,0.46,6.86,9.15,3.2,7.78,0.69,5.26,8.92,9.38,2.06,4.12,4.12,2.97,4.35,7.32,6.64,4.81,0.92,2.75,0
YGL027C,4.32,0.96,6.24,8.52,5.88,6,2.16,6.24,6.12,9.36,2.28,5.76,4.44,3.84,3.96,7.2,4.32,5.16,2.28,4.92,0
YGL100W,7.16,2.29,8.6,5.73,2.58,5.44,3.15,5.16,6.3,10.03,1.43,3.72,3.44,3.44,4.3,12.32,4.01,4.87,3.44,2.58,0
YGL126W,10.26,2.63,3.42,1.32,3.95,8.68,5,4.47,2.11,12.11,2.37,2.37,3.16,4.47,7.37,3.42,7.37,8.16,4.47,2.89,0
YGL209W,6.81,1.05,2.62,4.97,3.66,3.66,5.24,4.97,5.76,4.97,2.09,5.5,8.9,6.54,5.5,14.4,6.28,5.76,0,1.31,0
YGR170W,4.57,1.32,5.98,6.94,5.27,4.13,2.46,7.21,7.64,7.64,1.85,6.85,4.39,2.55,5.54,10.46,5.98,4.92,1.14,3.16,0
YGR099W,4.36,1.02,6.1,7.12,5.81,4.22,2.03,7.56,7.27,13.37,1.6,4.51,3.34,3.78,5.09,9.16,4.51,5.81,0.87,2.47,1
YGR172C,4.84,0.81,2.42,1.61,8.87,9.27,2.42,6.85,2.02,14.92,2.42,8.47,5.24,3.63,0.81,8.87,6.05,6.05,0.81,3.63,1
YGR123C,8.19,1.75,6.82,5.85,7.21,6.63,2.73,4.87,8.19,9.55,2.53,7.21,4.29,3.31,4.68,5.65,3.12,3.9,0.39,3.12,0
YGR048W,4.71,0.55,6.37,6.65,6.37,8.31,0.55,6.09,9.42,7.76,3.05,4.16,6.37,4.71,3.05,9.97,3.88,5.82,0.28,1.94,1
YGR060W,7.77,1.62,2.59,5.18,7.77,4.53,5.83,4.21,5.18,10.68,3.56,3.56,4.85,3.56,3.24,5.83,5.18,4.53,3.88,6.47,1
YGR281W,6.7,1.15,5.55,6.43,5.75,5.96,1.29,7.92,7.24,10.36,3.45,4.81,3.59,2.84,4.87,6.7,5.75,5.82,1.08,2.71,0
YGL241W,5.58,1.69,6.97,8.17,4.88,1.99,1.2,7.97,5.88,12.95,1.79,5.88,2.79,4.68,2.79,8.67,5.38,7.47,0.6,2.69,0
YGL227W,4.07,0.73,10.23,7.52,3.76,5.74,1.15,5.43,5.95,9.19,2.09,9.19,2.92,3.24,4.28,10.23,4.28,5.32,0.73,3.97,0
YGL219C,2.18,1.31,5.45,4.79,4.79,2.83,1.53,8.28,7.84,8.93,2.18,6.32,6.54,5.01,4.58,13.07,7.19,4.58,0.65,1.96,0
YGL216W,5.59,1.37,5.47,7.45,3.11,3.23,2.11,7.2,5.96,9.81,2.73,6.71,3.85,4.22,6.58,9.69,7.08,5.47,0.37,1.99,0
YGL202W,6.6,0.8,6.4,6,5,6,2,6.4,7.4,9.6,1.2,4.2,7.8,3.6,3.2,7.4,5.6,4.8,1.6,4.4,0
YGL201C,6.88,1.18,7.18,7.96,3.54,6,1.67,6.19,4.82,7.28,2.36,5.01,4.13,3.83,6.49,10.03,5.9,6.49,0.39,2.65,1
YGL198W,7.66,1.7,4.68,2.55,4.68,5.11,2.13,8.09,2.98,14.04,2.55,2.98,4.68,2.98,3.83,11.06,4.26,8.51,2.55,2.98,0
YGL184C,4.09,2.15,6.67,3.87,3.87,5.59,2.58,4.95,6.88,11.61,2.15,6.88,4.52,3.23,4.3,8.6,6.02,8.82,0.65,2.58,0
YGL153W,7.62,0,8.21,10.85,2.64,4.11,0.29,7.33,10.56,6.74,3.52,5.87,4.11,4.11,3.52,8.21,4.4,4.99,1.17,1.76,0
YGL151W,4.33,0.97,6.18,6.8,5.65,2.65,1.68,7.51,6.89,12.81,1.33,8.48,3.36,3.45,2.47,9.63,6.18,5.65,0.62,3.36,0
YGL141W,4.62,0.99,6.59,7.36,6.26,3.3,1.87,5.49,8.02,13.19,1.87,6.26,3.41,2.42,4.84,8.79,4.73,4.73,0.99,4.29,0
YGL124C,3.57,2.02,5.28,6.06,5.75,3.73,2.17,5.59,7.14,12.73,2.17,7.14,3.88,4.35,4.04,11.18,5.12,4.35,0.62,3.11,0
YGL120C,6.52,0.91,6,8.6,3.91,4.95,2.87,6,6.65,10.04,2.35,3.65,5.48,4.3,6.26,6.26,4.95,6,0.39,3.91,1
YGL110C,4.65,0.48,6.57,9.46,3.37,5.29,2.56,5.93,9.46,12.34,1.76,5.61,3.04,3.85,5.93,7.21,4.17,4.17,1.28,2.88,0
YGL107C,4.64,0.77,5.73,6.35,5.11,3.72,2.01,7.28,7.43,10.22,1.86,7.12,3.56,3.25,4.95,9.29,5.57,5.11,1.24,4.8,0
YGL106W,7.38,0,11.41,7.38,4.03,7.38,0,6.04,9.4,10.74,1.34,4.03,0.67,4.03,3.36,6.04,7.38,6.71,0,2.68,1
YGL099W,7.81,0.62,6.72,7.66,3.75,5.47,1.72,4.38,9.69,9.53,1.56,6.09,5.16,4.22,5.94,5.78,4.06,5.47,1.09,3.28,1
YGL090W,3.09,1.43,9.26,11.16,2.85,4.28,1.19,7.36,9.03,8.79,2.61,4.75,1.66,3.8,5.94,10.45,4.99,4.99,0.71,1.66,0
YGL087C,2.92,2.19,5.84,8.03,3.65,6.57,2.19,4.38,8.03,9.49,2.92,5.84,8.76,1.46,5.11,6.57,8.76,2.92,1.46,2.92,0
YGL084C,6.43,1.07,3.57,3.21,8.04,3.75,2.5,9.82,5,12.68,2.14,4.82,3.57,1.61,5.18,7.86,4.46,6.07,3.21,5,1
YGL066W,5.18,1.07,6.24,4.41,1.83,6.7,2.74,3.65,7.61,5.78,1.83,9.44,4.72,11.11,4.72,10.81,5.63,4.11,0.15,2.28,0
YGL054C,7.97,1.45,3.62,4.35,9.42,5.07,2.9,7.25,5.07,19.57,2.9,6.52,2.17,1.45,2.17,2.9,2.9,5.8,1.45,5.07,0
YGL037C,4.17,0.93,9.72,5.56,2.31,3.7,5.56,7.41,8.33,6.48,2.31,4.17,4.63,2.78,3.24,5.56,6.94,9.26,2.31,4.63,0
YGL023C,4.57,1.26,6.3,6.3,2.36,4.88,2.83,5.04,7.4,6.61,1.26,9.92,4.41,4.57,5.35,13.7,5.98,4.72,0.79,1.73,0
YGL004C,5.28,1.44,7.19,6.71,5.28,7.43,2.64,7.43,5.76,7.67,1.2,7.67,2.64,2.64,3.84,7.67,6.95,6.95,0.72,2.88,0
YGL001C,7.74,1.43,8.02,3.72,4.58,7.45,2.87,7.45,7.45,7.45,2.29,5.73,5.44,2.87,3.15,4.3,5.16,8.31,1.72,2.87,1
YGR002C,4.83,0.42,3.57,9.45,4.41,2.52,1.68,3.57,11.13,10.5,2.31,6.51,4.62,5.67,5.04,10.92,4.62,3.99,1.05,3.15,1
YGR010W,4.05,1.01,6.84,6.58,2.78,5.06,3.29,7.59,4.81,9.37,3.29,4.81,6.33,4.05,5.57,8.61,4.81,6.33,0.76,4.05,0
YGR036C,5.86,2.09,3.77,2.93,9.62,4.6,1.67,8.79,4.18,11.3,2.51,7.53,3.35,2.51,4.18,8.79,3.77,5.02,1.67,5.86,0
YGR038W,5.41,0.45,4.95,4.5,5.41,4.95,3.15,7.66,3.6,9.01,2.25,4.05,5.41,3.15,4.5,9.01,9.91,5.86,2.7,4.05,0
YGR056W,4.09,0.97,6.47,6.79,4.42,3.12,2.05,6.79,7,7.97,2.05,8.19,7.97,3.66,5.17,7.87,6.25,4.42,0.86,3.88,0
YGR086C,7.67,0,7.67,12.98,2.65,5.6,1.18,5.6,5.9,8.85,0.59,2.36,5.01,6.78,5.9,8.55,4.42,3.83,0.88,3.54,0
YGR090W,4.77,0.89,5.34,5.74,6.39,4.28,2.34,6.47,8.73,11.4,1.21,6.47,4.61,3.4,3.15,9.22,6.31,5.01,0.65,3.64,1
YGR095C,7.17,3.59,5.83,8.07,2.69,4.48,1.35,9.87,4.48,12.56,0.9,3.59,4.04,5.38,4.48,7.17,5.38,8.52,0,0.45,1
YGR103W,6.12,0.66,7.11,11.57,3.64,3.31,0.99,6.12,12.4,8.6,1.65,4.96,4.13,4.3,4.3,6.94,3.64,5.29,0.66,3.64,1
YGR120C,2.29,1.53,8.78,9.92,3.05,2.29,2.29,7.63,6.11,16.41,1.53,5.34,1.91,5.34,3.44,9.16,6.49,2.67,0,3.82,1
YGR128C,3.37,1.54,7.15,5.75,5.47,4.49,1.4,8.13,7.43,12.62,0.84,7.15,3.79,4.21,2.24,9.68,6.87,4.49,0.42,2.95,1
YGR136W,10.79,0,3.73,5.39,4.15,5.39,0,4.98,5.39,4.98,0.83,5.39,11.62,9.54,2.49,13.28,2.07,4.15,0.83,4.98,0
YGR142W,5.12,1.22,6.83,13.66,3.66,3.41,1.71,6.1,11.22,8.29,0.98,5.61,3.9,3.41,4.63,10.98,1.95,3.66,0.24,3.41,0
YGR163W,5.57,1.17,7.92,6.74,4.11,3.52,1.47,9.09,4.99,10.85,3.23,6.16,2.93,4.11,3.52,9.09,3.23,7.92,0.29,4.11,0
YGR178C,6.09,0.14,5.54,6.93,4.02,9.14,2.91,4.16,7.48,4.71,4.16,7.06,6.51,3.19,4.16,11.5,5.96,3.74,0.55,2.08,0
YGR179C,3.2,0.25,5.67,12.07,2.46,3.69,3.2,5.67,10.1,10.1,2.96,6.9,2.96,4.19,5.91,9.11,4.68,3.45,0.49,2.96,1
YGR189C,7.5,0.39,6.11,3.75,2.96,6.31,0.59,3.75,4.54,5.92,1.58,2.96,2.56,2.96,1.18,24.26,11.83,5.92,1.38,3.55,0
YGR211W,5.35,3.09,7,10.49,3.5,5.14,1.65,7.61,6.79,6.58,2.47,4.32,4.53,5.97,4.53,6.17,6.17,5.56,0.62,2.47,1
YGR241C,5.11,0.18,4.05,5.28,2.82,4.58,2.46,5.46,5.11,10.56,2.82,6.87,5.63,12.15,3.35,7.39,8.1,4.05,0.35,3.7,0
YGR271W,5.24,1.07,6.51,6.25,5.08,4.78,2.64,7.68,6.81,10.17,3.05,4.22,3.81,4.88,4.73,6.91,5.74,6.35,1.02,3.05,0
YGR275W,5.1,0.64,8.28,7.01,1.27,5.73,0.64,3.18,9.55,7.01,2.55,8.28,4.46,6.37,4.46,9.55,5.73,4.46,1.91,3.82,0
YGR279C,14.25,1.3,5.18,4.4,2.33,6.22,0.78,4.15,4.66,4.4,0.52,5.7,2.85,4.4,1.55,14.77,7.77,9.33,1.55,3.89,0
YGR280C,4.8,0.37,9.96,7.01,2.95,6.27,3.32,4.06,21.03,6.64,1.85,4.8,1.85,2.21,5.9,7.38,4.8,2.58,1.85,0.37,1
YLR212C,5.5,0.63,8.25,5.29,5.07,5.71,2.11,5.71,3.17,8.25,3.17,7.61,4.23,3.81,4.02,11.21,5.5,6.77,0.85,3.17,1
YDR144C,5.7,0.84,6.54,3.86,4.87,6.88,1.34,5.87,4.7,7.72,2.01,5.37,3.02,2.85,1.17,14.77,11.24,6.04,0.67,4.53,0
YML060W,6.38,2.13,5.32,6.38,3.19,5.59,2.39,7.98,9.31,9.57,2.66,5.05,1.86,3.72,4.52,7.45,5.85,5.32,1.86,3.46,0
YNL070W,3.33,0,1.67,3.33,6.67,3.33,5,6.67,3.33,16.67,1.67,6.67,8.33,0,3.33,13.33,5,5,3.33,3.33,0
YNL126W,3.43,0.47,4.26,6.74,5.91,3.55,2.13,8.04,6.5,12.65,2.13,7.8,3.43,3.66,4.37,9.22,5.2,4.61,0.59,5.32,1
YNL012W,3.33,1.74,5.23,6.5,7.13,5.39,1.43,7.61,9.67,9.98,2.06,6.81,4.44,2.54,2.85,8.56,4.75,5.07,0.79,4.12,0
YOR259C,6.41,0.46,6.64,10.3,3.66,7.32,2.06,7.78,7.32,8.7,2.52,3.43,5.03,4.81,7.09,3.89,5.72,4.81,0,2.06,1
YOR142W,9.73,0.91,3.95,5.78,4.56,10.64,1.82,9.12,7.9,6.69,2.43,1.82,5.47,5.47,2.74,5.78,7.29,6.08,0,1.82,0
YNR031C,4.24,0.95,6.14,7.03,4.56,4.75,1.65,6.46,6.9,9.94,2.98,7.6,3.8,3.86,4.5,9.12,5.45,5.26,1.46,3.36,0
YNL036W,4.98,4.07,4.07,5.43,2.71,4.52,4.52,6.33,6.33,10.41,1.36,8.6,3.17,5.43,2.26,7.24,8.14,5.88,0.9,3.62,1
YDL145C,7.58,0.92,6.24,7.16,4.33,5.16,2.5,6.83,6.58,9.33,1.58,4.58,4.25,4.33,4.58,6.74,5.58,6.99,1.58,3.16,1
YNL044W,5.68,1.14,0.57,5.68,7.95,6.82,0.57,6.82,5.68,13.64,1.7,5.68,3.41,5.11,1.7,9.09,6.25,9.09,0.57,2.84,1
YOR025W,3.36,2.68,6.94,4.7,3.36,6.04,2.01,8.05,8.72,10.96,1.34,4.92,4.47,4.25,6.49,9.62,5.82,3.36,1.34,1.57,0
YLR216C,7.01,1.89,7.82,7.55,5.39,5.12,1.62,5.66,11.59,7.82,1.89,6.47,4.31,4.58,2.43,3.5,5.12,6.47,0,3.77,0
YNR035C,5.26,0.88,5.26,7.6,6.43,3.22,2.63,7.6,6.14,10.82,1.17,3.22,4.09,6.43,5.85,7.31,6.43,5.85,0.29,3.51,1
YNR038W,5.25,0.79,5.41,6.52,3.5,3.5,1.75,7.79,7.15,11.92,1.43,7.79,4.29,4.61,3.5,10.81,6.84,4.29,0.32,2.54,1
YNR051C,5.44,0.58,4.66,9.32,3.69,4.27,1.75,5.44,12.23,4.66,1.55,6.8,6.21,2.52,4.08,9.51,8.54,6.21,0.39,2.14,0
YNR053C,5.56,1.03,5.76,7.82,3.29,6.38,2.06,6.17,10.91,8.23,1.23,3.7,4.73,4.12,7,6.38,5.35,6.17,1.65,2.47,1
YNR054C,5.06,0.32,7.28,11.71,3.48,5.06,1.58,5.7,13.92,6.33,1.58,5.7,2.22,5.7,5.38,8.23,3.8,4.43,0.63,1.9,1
YNR067C,5.91,0.18,4.92,4.57,3.58,5.37,1.25,6.09,2.78,8.24,1.97,5.91,3.67,3.94,1.43,17.64,9.76,6.18,1.16,5.46,0
YNL283C,7.16,1.79,4.37,1.99,1.99,4.97,1.79,3.38,3.38,4.97,0.8,4.37,3.18,3.78,2.58,24.45,14.51,6.16,0.8,3.58,0
YNL273W,5.17,0.57,7.51,6.62,5.49,3.96,1.53,5.9,8,11.31,1.86,5.82,3.55,3.8,4.77,9.61,5.17,5.57,0.89,2.91,0
YNL264C,6.29,1.14,8.29,6.57,4.86,4.57,2.29,4.86,9.43,10.29,2.86,4.86,6.57,2.86,5.14,2.86,4.57,5.71,2,4,0
YNL263C,4.46,0.96,4.14,1.59,7.64,7.01,0.64,6.05,4.46,11.78,3.5,8.92,5.1,6.37,2.87,7.64,4.46,6.37,1.27,4.78,1
YNL258C,4.24,0.93,7.03,9.81,4.38,2.65,1.86,6.9,7.96,12.47,2.39,7.69,1.99,3.71,3.45,7.56,5.04,4.51,1.86,3.58,1
YNL233W,3.92,0.34,8.41,9.19,3.92,2.91,1.79,5.16,7.62,7.51,1.91,6.5,5.49,3.59,5.04,13.45,7.06,4.04,0,2.13,0
YNL231C,4.27,0.57,6.55,8.55,4.56,5.13,3.13,5.7,10.54,11.4,1.42,3.13,6.84,2.56,4.84,4.56,4.56,6.27,1.71,3.7,0
YNL223W,4.66,2.43,6.88,8.7,5.06,7.49,2.23,6.28,4.05,7.89,2.02,5.47,4.25,3.44,4.05,9.51,3.85,7.49,1.42,2.83,0
YNL219C,5.95,1.98,2.7,3.78,8.11,4.86,1.98,8.47,4.5,13.33,1.26,6.13,5.95,2.16,3.6,6.67,4.86,5.95,2.88,4.86,0
YNL182C,4.5,1.8,5.59,6.13,3.06,5.95,2.16,7.39,6.67,11.17,1.26,7.57,3.06,5.59,2.7,8.65,6.49,6.49,0.54,3.24,1
YNL180C,5.74,1.81,6.04,6.04,2.11,5.14,2.11,5.44,10.27,7.55,0.6,6.34,4.83,5.44,3.32,9.97,9.06,3.93,0.6,3.63,0
YNL172W,4.86,1.14,6.35,5.66,4.46,5.43,1.83,7.55,6.18,11.78,2.06,5.15,4.12,3.38,4.12,10.81,5.43,5.15,1.09,3.43,1
YNL166C,5.36,0.67,9.15,9.38,2.23,6.25,2.01,5.8,8.71,5.8,1.79,8.71,3.57,4.91,3.57,9.6,4.91,5.58,0.45,1.56,0
YNL163C,5.5,1.53,6.4,9.19,3.78,5.5,1.89,6.85,6.4,10.36,2.16,4.32,4.59,3.78,4.86,8.29,4.68,7.12,0.81,1.98,1
YNL161W,5.03,0.53,4.37,5.56,3.57,6.08,2.91,4.76,4.76,7.67,2.91,5.29,4.89,12.57,5.29,8.73,5.69,3.31,1.06,5.03,1
YNL159C,5.54,0.35,4.5,3.81,8.3,6.92,1.73,7.96,3.46,8.3,2.77,7.27,3.11,4.15,7.27,7.61,6.92,5.54,1.04,3.46,0
YNL158W,5.56,0.51,4.55,4.04,4.55,2.53,3.54,10.61,3.03,10.61,2.02,4.55,5.56,4.04,4.04,7.58,9.09,9.09,1.01,3.54,1
YNL147W,3.48,0,6.96,6.09,0.87,6.96,1.74,5.22,12.17,12.17,4.35,5.22,2.61,6.09,4.35,7.83,3.48,6.96,0,3.48,1
YNL141W,5.19,2.02,8.07,7.78,5.76,5.19,3.75,5.19,7.49,11.82,0.86,2.59,4.9,4.03,3.46,6.63,4.61,6.05,1.15,3.46,0
YNL132W,6.82,0.57,6.25,6.82,3.5,4.73,2.18,6.34,8.05,11.46,2.56,5.3,4.36,4.36,5.11,8.14,4.17,5.49,0.57,3.22,1
YNL129W,5.42,1.25,10.42,5,5.83,3.75,2.08,7.08,11.67,8.33,0.83,5.42,3.75,2.5,2.92,5.83,5,7.08,1.67,4.17,0
YNL127W,4.62,1.36,6.61,8.5,4.51,3.57,2.52,6.3,7.35,10.81,2.31,6.61,3.99,3.36,4.72,10.39,3.67,3.88,1.05,3.88,0
YNL119W,2.84,2.23,5.27,7.3,4.67,2.84,1.62,8.11,9.13,9.53,2.43,8.52,2.84,4.87,2.43,9.74,5.88,6.09,0.81,2.84,0
YNL116W,6.13,2.11,4.6,5.36,3.64,4.98,3.07,5.75,3.64,6.9,2.3,6.9,6.13,5.75,5.75,12.84,7.28,4.6,0.57,1.72,0
YNL078W,3.93,0.49,4.18,3.93,3.19,2.7,2.95,5.41,5.65,8.11,2.46,7.37,6.63,4.42,7.13,14.99,9.58,3.44,0.49,2.95,0
YNL077W,4.36,3.41,6.63,5.87,4.36,7.58,2.27,5.87,7.95,7.01,1.52,7.77,3.6,4.92,3.98,9.09,5.11,4.92,0.19,3.6,0
YNL054W,5.41,0.34,7.3,4.64,2.58,3.78,3.26,4.72,6.01,7.21,1.8,13.82,5.41,3.69,3.09,13.22,6.61,4.72,0.17,2.23,0
YNL047C,3.96,0.61,5.18,5.49,4.42,2.44,2.29,5.95,7.32,9.76,1.68,8.84,5.64,6.55,4.27,11.74,5.49,4.88,0.61,2.9,0
YNL027W,3.69,1.03,8.85,4.42,3.24,4.28,2.21,4.28,6.49,8.41,1.33,11.95,3.98,6.05,5.01,13.57,5.6,2.36,0.29,2.95,0
YNL026W,3.31,1.24,5.37,3.72,5.99,7.23,3.93,5.17,6.61,12.19,2.07,5.79,4.34,4.13,3.51,9.71,7.23,4.55,1.45,2.48,1
YNL021W,4.53,1.98,6.94,7.51,3.97,6.23,2.83,7.79,6.23,8.22,2.27,5.38,5.1,2.69,4.53,7.37,4.25,6.94,1.42,3.82,0
YNL020C,4.86,0.94,5.33,4.7,2.98,3.92,2.51,6.27,7.68,9.72,2.66,7.21,7.21,5.49,3.61,10.97,5.49,4.86,0.16,3.45,1
YNL014W,7.76,1.44,5.36,8.52,3.35,6.13,2.2,6.42,8.14,9.2,2.3,4.31,4.02,2.87,4.12,6.8,6.42,7.38,1.05,2.2,0
YNL008C,3.7,2.22,6.07,5.62,5.92,3.55,2.37,6.21,6.51,13.46,1.92,6.51,2.66,2.22,4.29,10.06,5.03,6.51,1.18,3.99,0
YML052W,9.6,1.66,4.64,2.65,7.28,4.64,2.32,5.96,2.65,8.28,3.31,5.63,4.3,2.98,4.64,8.61,7.28,7.95,2.98,2.65,0
YPL053C,5.16,1.57,6.95,7.62,7.62,5.16,2.02,8.07,7.85,6.05,2.69,6.28,4.48,3.81,3.81,6.73,3.36,4.04,2.69,4.04,0
YMR119W,3.53,3.04,5.29,6.25,8.01,4.01,1.28,7.21,5.77,11.22,1.92,6.41,3.69,1.92,4.33,10.74,5.13,5.61,1.12,3.53,0
YLR028C,9.31,1.18,6.43,5.92,4.23,6.26,2.03,5.58,7.11,8.97,1.52,4.91,4.57,4.06,4.23,6.77,4.23,8.63,0.85,3.21,0
YPL061W,8.8,1.4,5.4,7.2,4.2,9,0.8,7,7.4,7.6,2.2,5.4,4.2,2.2,3.4,4.8,7.4,7.6,0.8,3.2,0
YDL028C,4.19,0.65,6.41,5.89,3.4,4.32,2.62,7.07,7.46,8.25,2.49,8.77,4.58,3.27,6.28,11.26,5.24,4.32,0.39,3.14,1
YMR121C,7.35,0.49,2.45,4.41,1.96,6.37,2.45,2.94,10.78,6.37,0.49,6.37,3.43,4.41,16.18,2.94,4.9,7.35,2.45,5.88,0
YMR015C,7.99,2.23,5.76,5.39,5.95,3.35,2.42,6.51,8.74,9.29,2.97,3.9,5.39,2.97,2.97,5.95,5.39,7.25,1.67,3.9,0
YMR070W,7.96,0.82,3.27,1.02,2.04,3.27,6.53,3.67,3.47,5.51,1.84,20.2,7.35,9.59,1.84,10,4.49,3.27,0.61,3.27,1
YML109W,4.25,0.21,7.64,8.49,2.34,3.4,2.87,5.41,7.11,7.86,1.8,7.43,3.72,3.72,4.88,13.8,7.01,5.73,0.42,1.91,0
YML097C,4.21,1.11,7.76,10.64,5.76,2.88,1.11,6.87,9.53,11.09,2.44,5.54,5.1,3.99,4.66,6.65,3.99,3.55,0.22,2.88,0
YLL004W,3.9,0.65,7.63,7.14,7.47,2.6,2.44,6.82,7.47,12.66,2.27,8.12,2.76,3.08,3.9,7.63,4.38,4.55,0.65,3.9,1
YPR162C,4.35,1.13,5.1,6.81,4.35,3.4,1.13,8.88,6.05,11.34,1.7,5.67,3.02,6.24,5.48,8.88,7.37,4.91,0.95,3.21,1
YML012W,6.16,0.95,7.11,8.06,4.27,4.74,1.42,7.11,4.27,9.48,0.47,5.21,1.42,4.27,8.53,7.11,5.21,10.43,1.42,2.37,0
YDR058C,3.07,2.45,7.36,3.99,4.91,4.91,2.15,7.67,9.82,8.9,2.45,7.36,3.99,2.15,3.07,7.36,5.52,6.44,1.84,4.6,0
YDL190C,6.14,1.04,6.24,7.39,6.97,3.64,1.87,6.76,7.18,11.34,1.87,5.93,4.58,3.54,4.37,7.39,4.68,5.31,0.1,3.64,0
YLL001W,4.23,1.32,7.53,7.13,2.91,5.42,1.19,7.93,7.53,12.02,1.45,5.81,4.49,3.7,5.02,7.79,5.68,5.81,0.13,2.91,0
YOR008C,7.14,2.38,4.5,5.03,2.65,6.88,1.85,4.23,3.44,4.23,1.32,5.82,2.65,3.17,1.59,23.02,11.64,4.5,0.26,3.7,0
YFL039C,6.93,1.07,5.33,7.2,3.73,7.73,2.67,8,4.8,6.67,4.27,2.4,5.07,3.73,4.8,8.27,5.6,6.93,1.07,3.73,1
YBR010W,11.76,0,2.94,5.15,3.68,5.15,1.47,5.15,11.76,9.56,0.74,0.74,3.68,5.88,12.5,7.35,6.62,4.41,0,1.47,0
YKR035W-A,8.82,0.49,7.84,8.33,1.96,2.94,0,2.94,10.78,9.8,5.39,7.84,0.49,7.84,5.39,7.35,3.43,7.35,0,0.98,0
YBR233W-A,1.06,0,5.32,10.64,0,4.26,3.19,5.32,8.51,15.96,2.13,3.19,2.13,12.77,3.19,10.64,3.19,5.32,0,3.19,1
YNL220W,4.39,0.69,5.54,7.16,3.93,10.39,2.08,5.31,8.55,10.39,1.15,4.39,3.93,2.31,4.62,4.39,6,9.47,1.15,4.16,0
YJL081C,5.11,1.43,4.91,9,3.48,6.13,1.23,6.13,7.57,9,1.02,5.52,5.73,2.86,4.09,8.79,7.16,5.73,1.84,3.27,1
YPR133W-A,10,0,0,12,4,2,4,2,12,8,4,0,4,12,2,4,4,8,6,2,0
YDR322C-A,9.38,1.04,4.17,11.46,5.21,3.12,1.04,3.12,11.46,11.46,2.08,7.29,4.17,2.08,3.12,5.21,3.12,8.33,0,3.12,0
YML081C-A,10.17,0,5.08,3.39,10.17,6.78,0,3.39,10.17,5.08,3.39,5.08,8.47,0,5.08,5.08,3.39,8.47,1.69,5.08,0
YDR166C,2.57,1.44,5.25,6.9,5.36,3.3,1.13,9.58,7.42,11.23,1.44,9.37,2.78,5.87,3.4,9.78,5.56,3.3,1.03,3.3,1
